"ID","Handle","Command","Title","Body HTML","Vendor","Type","Status","URL","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: mm-google-shopping.custom_product [boolean]","Metafield: custom.short_description [multi_line_text_field]","Metafield: shopify--discovery--product_search_boost.queries [list.single_line_text_field]","Metafield: shopify--discovery--product_recommendation.related_products [list.product_reference]","Metafield: shopify--discovery--product_recommendation.related_products_display [single_line_text_field]","Metafield: shopify--discovery--product_recommendation.complementary_products [list.product_reference]","Metafield: shopify.size [list.metaobject_reference]","Metafield: shopify.color-pattern [list.metaobject_reference]","Metafield: shopify.accessory-size [list.metaobject_reference]","Metafield: shopify.age-group [list.metaobject_reference]","Metafield: shopify.neckline [list.metaobject_reference]","Metafield: shopify.automation [list.metaobject_reference]","Metafield: shopify.fabric [list.metaobject_reference]","Metafield: shopify.sleeve-length-type [list.metaobject_reference]","Metafield: shopify.target-gender [list.metaobject_reference]","Metafield: shopify.top-length-type [list.metaobject_reference]","Metafield: custom.organization [metaobject_reference]","Metafield: custom.size_guide [page_reference]","Metafield: custom.fit_information_for_product [rich_text_field]","Metafield: custom.materials_and_care [rich_text_field]","Metafield: custom.specs_and_features [rich_text_field]","Metafield: mm-google-shopping.google_product_category [string]","Metafield: mc-facebook.google_product_category [string]","Metafield: mm-google-shopping.age_group [string]","Metafield: comingsoon_app.csp_status [string]"
"9692713615681","ottawa-charge-line-change-unisex-trucker-hat","MERGE","Ottawa Charge Unisex Line Change Trucker Hat","<p>Top off your look with the PWHL Ottawa Charge Unisex Line Change Trucker Hat. Featuring the team name prominently on the front, this hat combines classic style with modern comfort. The shell is made from 100% cotton, while the lining and mesh provide breathability with 100% polyester construction. Designed as a one-size-fits-most, this trucker hat is perfect for showing your team pride wherever you go.</p>
<p>Material Details: Shell: 100% cotton; Lining &amp; mesh: 100% polyester.</p>
<p>Care Instructions: Spot clean as needed.</p>
<p>PWHL Ottawa Charge - Professional Women's Hockey League Official Product</p>","Line Change","","Active","https://shop.thepwhl.com/products/ottawa-charge-line-change-unisex-trucker-hat","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692713681217","minnesota-frost-line-change-unisex-trucker-hat","MERGE","Minnesota Frost Unisex Line Change Trucker Hat","<p>Top off your look with the PWHL Minnesota Frost Unisex Line Change Trucker Hat. Featuring the team name prominently on the front, this hat combines classic style with modern comfort. The shell is made from 100% cotton, while the lining and mesh provide breathability with 100% polyester construction. Designed as a one-size-fits-most, this trucker hat is perfect for showing your team pride wherever you go.</p>
<p>Material Details: Shell: 100% cotton; Lining &amp; mesh: 100% polyester.</p>
<p>Care Instructions: Spot clean as needed.</p>
<p>PWHL Minnesota Frost - Professional Women's Hockey League Official Product</p>","Line Change","","Active","https://shop.thepwhl.com/products/minnesota-frost-line-change-unisex-trucker-hat","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692713746753","boston-fleet-line-change-unisex-trucker-hat","MERGE","Boston Fleet Unisex Line Change Trucker Hat","<p>Top off your look with the PWHL Boston Fleet Unisex Line Change Trucker Hat. Featuring the team name prominently on the front, this hat combines classic style with modern comfort. The shell is made from 100% cotton, while the lining and mesh provide breathability with 100% polyester construction. Designed as a one-size-fits-most, this trucker hat is perfect for showing your team pride wherever you go.</p>
<p>Material Details: Shell: 100% cotton; Lining &amp; mesh: 100% polyester.</p>
<p>Care Instructions: Spot clean as needed.</p>
<p>PWHL Boston Fleet - Professional Women's Hockey League Official Product</p>","Line Change","","Active","https://shop.thepwhl.com/products/boston-fleet-line-change-unisex-trucker-hat","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692713779521","new-york-sirens-line-change-unisex-trucker-hat","MERGE","New York Sirens Unisex Line Change Trucker Hat","<p>Top off your look with the PWHL New York Sirens Unisex Line Change Trucker Hat. Featuring the team name prominently on the front, this hat combines classic style with modern comfort. The shell is made from 100% cotton, while the lining and mesh provide breathability with 100% polyester construction. Designed as a one-size-fits-most, this trucker hat is perfect for showing your team pride wherever you go.</p>
<p>Material Details: Shell: 100% cotton; Lining &amp; mesh: 100% polyester.</p>
<p>Care Instructions: Spot clean as needed.</p>
<p>PWHL New York Sirens - Professional Women's Hockey League Official Product</p>","Line Change","","Active","https://shop.thepwhl.com/products/new-york-sirens-line-change-unisex-trucker-hat","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714434881","toronto-sceptres-peace-collective-unisex-fleece-quarter-zip","MERGE","Toronto Sceptres Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL Toronto Sceptres Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL Toronto Sceptres - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/toronto-sceptres-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714565953","montreal-victoire-peace-collective-unisex-fleece-quarter-zip","MERGE","Montreal Victoire Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL Montreal Victoire Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL Montreal Victoire - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/montreal-victoire-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714631489","ottawa-charge-peace-collective-unisex-fleece-quarter-zip","MERGE","Ottawa Charge Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL Ottawa Charge Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL Ottawa Charge - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/ottawa-charge-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714697025","minnesota-frost-peace-collective-unisex-fleece-quarter-zip","MERGE","Minnesota Frost Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL Minnesota Frost Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL Minnesota Frost - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/minnesota-frost-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714762561","boston-fleet-peace-collective-unisex-fleece-quarter-zip","MERGE","Boston Fleet Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL Boston Fleet Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL Boston Fleet - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/boston-fleet-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9692714828097","new-york-sirens-peace-collective-unisex-fleece-quarter-zip","MERGE","New York Sirens Unisex Peace Collective Fleece Quarter Zip","<p>Stay warm and stylish with the PWHL New York Sirens Unisex Peace Collective Fleece Quarter Zip, a standout piece from our exclusive collaboration with Peace Collective. This quarter zip features a sleek silver zipper pull, a stand-up collar, and an embroidered design on the front chest. Made from soft and durable fabric, it’s perfect for layering on game day or any day.</p>
<p>Material Details: 60% cotton, 40% polyester ringspun fleece .</p>
<p>Care Instructions: Machine wash cold, tumble dry low or hang dry.</p>
<p>PWHL New York Sirens - Professional Women's Hockey League Official Product</p>","Peace Collective","","Active","https://shop.thepwhl.com/products/new-york-sirens-peace-collective-unisex-fleece-quarter-zip","","","","","","","","","","","","","","","","","","","","","","","","","","",""
